config,model,mean_base,std_base,mean_ls,std_ls,mean_delta,paired_t_stat,paired_t_p,wilcoxon_p
glove_movie,svm,0.811182,0.036481,0.812712,0.018837,0.001529,0.0942,0.92944,1.0
glove_movie,rf,0.797349,0.018695,0.800541,0.018732,0.003192,0.5919,0.58575,0.8125
w2v_movie,svm,0.811182,0.036481,0.819327,0.020402,0.008145,0.9098,0.41438,0.4375
w2v_movie,rf,0.797349,0.018695,0.807275,0.018006,0.009925,1.2274,0.28698,0.3125
glove_twitter,svm,0.755811,0.012716,0.762337,0.010349,0.006527,3.8146,0.01886,0.0625
glove_twitter,rf,0.72867,0.0094,0.733873,0.009316,0.005203,1.7605,0.15312,0.1875
